Silkbase_id,NCBI_id,TF,KEGG_id,Silkbase_description,GO_description,KEGG_description
KWMTBOMO01625,LOC101744566,_,101744566,PREDICTED:_kelch-like_protein_diablo_[Papilio_xuthus],GO:0005515|protein binding|molecular function,kelch-like protein diablosK10457 KLHL20; kelch-like protein 20
KWMTBOMO01626,LOC101745344,_,101745344,PREDICTED:_thioredoxin_domain-containing_protein_3_homolog_[Bombyx_mori],GO:0045454|cell redox homeostasis|biological process,thioredoxin domain-containing protein 3 homologsK19868 NME8; thioredoxin domain-containing protein 3
KWMTBOMO01627,LOC101744902,_,101744902,PREDICTED:_uncharacterized_protein_LOC106136840_isoform_X1_[Amyelois_transitella],-,NA
KWMTBOMO01628,NA,_,101740752,AF461149_1_transposase_[Bombyx_mori],-,NA
KWMTBOMO01629,NA,_,101745623,PREDICTED:_maltase_A1_[Bombyx_mori],GO:0003824|catalytic activity|molecular function;GO:0005975|carbohydrate metabolic process|biological process,maltase A1sK01187 malZ; alpha-glucosidase [EC:3.2.1.20]
KWMTBOMO01630,LOC101745623,_,101745623,maltase_A1_[Bombyx_mori],GO:0003824|catalytic activity|molecular function;GO:0005975|carbohydrate metabolic process|biological process,maltase A1sK01187 malZ; alpha-glucosidase [EC:3.2.1.20]
KWMTBOMO01631,LOC101745917,_,101745917,PREDICTED:_uncharacterized_protein_LOC101745917_[Bombyx_mori],GO:0005515|protein binding|molecular function,NA
KWMTBOMO01632,NA,_,101746347,PREDICTED:_laminin_subunit_alpha-2_[Bombyx_mori],-,"laminin subunit alpha-2sK05637 LAMA1_2; laminin, alpha 1/2"
KWMTBOMO01633,LOC101745293,_,101745293,PREDICTED:_uncharacterized_protein_LOC106110044_[Papilio_polytes],-,NA
KWMTBOMO01634,NA,_,105842661,endonuclease_and_reverse_transcriptase-like_protein_[Bombyx_mori],-,NA
KWMTBOMO01635,LOC101746347,_,101746347,PREDICTED:_laminin_subunit_alpha-2_[Bombyx_mori],-,"laminin subunit alpha-2sK05637 LAMA1_2; laminin, alpha 1/2"
KWMTBOMO01636,LOC110385716,_,101746347,PREDICTED:_laminin_subunit_alpha-2_[Bombyx_mori],-,"laminin subunit alpha-2sK05637 LAMA1_2; laminin, alpha 1/2"
KWMTBOMO01637,NA,_,101745433,PREDICTED:_lysosome-associated_membrane_glycoprotein_1-like_[Papilio_xuthus],GO:0016020|membrane|cellular component,endochitinase AsK06528 LAMP1_2; lysosomal-associated membrane protein 1/2
KWMTBOMO01638,LOC101745575,_,101745575,PREDICTED:_sodium/potassium-transporting_ATPase_subunit_beta-2-like_[Papilio_machaon],GO:0005890|sodium:potassium-exchanging ATPase complex|cellular component;GO:0006813|potassium ion transport|biological process;GO:0006814|sodium ion transport|biological process,sodium/potassium-transporting ATPase subunit beta-2sK01540 ATP1B; sodium/potassium-transporting ATPase subunit beta
KWMTBOMO01639,LOC101745725,_,101745725,PREDICTED:_sodium/potassium-transporting_ATPase_subunit_beta-2-like_[Amyelois_transitella],GO:0005890|sodium:potassium-exchanging ATPase complex|cellular component;GO:0006813|potassium ion transport|biological process;GO:0006814|sodium ion transport|biological process,sodium/potassium-transporting ATPase subunit beta-2sK01540 ATP1B; sodium/potassium-transporting ATPase subunit beta
KWMTBOMO01640,LOC110385711,_,NA,NA,-,NA
KWMTBOMO01641,LOC101746632,_,101746632,"Na,K-ATPase_beta-subunit_[Bombyx_mori]",GO:0005890|sodium:potassium-exchanging ATPase complex|cellular component;GO:0006813|potassium ion transport|biological process;GO:0006814|sodium ion transport|biological process,sodium/potassium-transporting ATPase subunit beta-2sK01540 ATP1B; sodium/potassium-transporting ATPase subunit beta
KWMTBOMO01642,LOC101746012,_,101746012,PREDICTED:_sodium/potassium-transporting_ATPase_subunit_beta-1-like_[Papilio_xuthus],GO:0005890|sodium:potassium-exchanging ATPase complex|cellular component;GO:0006813|potassium ion transport|biological process;GO:0006814|sodium ion transport|biological process,sodium/potassium-transporting ATPase subunit beta-2sK01540 ATP1B; sodium/potassium-transporting ATPase subunit beta
KWMTBOMO01643,LOC101745873,_,101745873,PREDICTED:_sodium/potassium-transporting_ATPase_subunit_beta-1-like_isoform_X2_[Bombyx_mori],GO:0005890|sodium:potassium-exchanging ATPase complex|cellular component;GO:0006813|potassium ion transport|biological process;GO:0006814|sodium ion transport|biological process,sodium/potassium-transporting ATPase subunit beta-1sK01540 ATP1B; sodium/potassium-transporting ATPase subunit beta
KWMTBOMO01644,LOC101746152,_,101746152,PREDICTED:_sodium/potassium-transporting_ATPase_subunit_beta-2-like_[Papilio_polytes],GO:0005890|sodium:potassium-exchanging ATPase complex|cellular component;GO:0006813|potassium ion transport|biological process;GO:0006814|sodium ion transport|biological process,sodium/potassium-transporting ATPase subunit beta-2sK01540 ATP1B; sodium/potassium-transporting ATPase subunit beta
KWMTBOMO01645,LOC692911,_,692911,transmembrane_protein_precursor_[Bombyx_mori],-,transmembrane protein precursorsK23566 MMGT1; membrane magnesium transporter 1
KWMTBOMO01646,LOC101746301,_,101746301,hypothetical_protein_KGM_07760_[Danaus_plexippus],GO:0001522|pseudouridine synthesis|biological process;GO:0042254|ribosome biogenesis|biological process,probable H/ACA ribonucleoprotein complex subunit 1sK11128 GAR1; H/ACA ribonucleoprotein complex subunit 1
KWMTBOMO01647,NA,_,101746301,NA,-,probable H/ACA ribonucleoprotein complex subunit 1sK11128 GAR1; H/ACA ribonucleoprotein complex subunit 1
KWMTBOMO01648,LOC101746773,_,101746773,PREDICTED:_uncharacterized_protein_LOC101746773_[Bombyx_mori],"GO:0000775|chromosome, centromeric region|cellular component;GO:0005634|nucleus|cellular component;GO:0045132|meiotic chromosome segregation|biological process",NA
KWMTBOMO01649,LOC110385839,_,105842062,NA,-,NA
KWMTBOMO01650,LOC692874,_,692874,dermal_papilla_derived_protein_13_[Bombyx_mori],GO:0004865|protein serine/threonine phosphatase inhibitor activity|molecular function;GO:0008410|CoA-transferase activity|molecular function;GO:0032515|negative regulation of phosphoprotein phosphatase activity|biological process,dermal papilla derived protein 13sK18703 SUGCT; succinate---hydroxymethylglutarate CoA-transferase [EC:2.8.3.13]
KWMTBOMO01651,LOC101746914,_,101746914,PREDICTED:_uncharacterized_protein_LOC101746914_[Bombyx_mori],-,NA
KWMTBOMO01652,NA,_,101746914,PREDICTED:_uncharacterized_protein_LOC101746914_[Bombyx_mori],-,NA
KWMTBOMO01653,NA,_,NA,PREDICTED:_uncharacterized_protein_K02A2.6-like_[Papilio_machaon],GO:0003676|nucleic acid binding|molecular function;GO:0008270|zinc ion binding|molecular function;GO:0015074|DNA integration|biological process,NA
KWMTBOMO01654,LOC110385707,_,101746914,PREDICTED:_uncharacterized_protein_LOC101746914_[Bombyx_mori],-,NA
KWMTBOMO01655,LOC101746771,_,101746771,PREDICTED:_inactive_hydroxysteroid_dehydrogenase-like_protein_1_[Bombyx_mori],GO:0016491|oxidoreductase activity|molecular function,inactive hydroxysteroid dehydrogenase-like protein 1sK10251 HSD17B12; 17beta-estradiol 17-dehydrogenase / very-long-chain 3-oxoacyl-CoA reductase [EC:1.1.1.62 1.1.1.330]
KWMTBOMO01656,LOC105842075,_,105842075,NA,-,NA
KWMTBOMO01657,LOC101746912,_,101746912,hypothetical_protein_KGM_07380_[Danaus_plexippus],GO:0005737|cytoplasm|cellular component;GO:0019079|viral genome replication|biological process;GO:0043066|negative regulation of apoptotic process|biological process;GO:0043154|negative regulation of cysteine-type endopeptidase activity involved in apoptotic process|biological process;GO:0071986|Ragulator complex|cellular component,ragulator complex protein LAMTOR5sK16344 LAMTOR5; ragulator complex protein LAMTOR5
KWMTBOMO01658,LOC101747044,_,101747044,PREDICTED:_calcium_channel_flower_isoform_X1_[Bombyx_mori],GO:0016021|integral component of membrane|cellular component,NA
KWMTBOMO01659,LOC101747045,_,101747045,"PREDICTED:_enhancer_of_mRNA-decapping_protein_4-like,_partial_[Bombyx_mori]",GO:0005515|protein binding|molecular function,NA
KWMTBOMO01660,LOC101742717,_,105842639,PREDICTED:_enhancer_of_mRNA-decapping_protein_4-like_[Bombyx_mori],GO:0005509|calcium ion binding|molecular function,NA
KWMTBOMO01661,LOC105842573,_,105842082,PREDICTED:_uncharacterized_protein_LOC105842082_[Bombyx_mori],-,NA
KWMTBOMO01662,LOC733058,_,733058,small_GTP_binding_protein_RAB5_[Bombyx_mori],GO:0003924|GTPase activity|molecular function;GO:0005525|GTP binding|molecular function,small GTP binding protein RAB5sK07888 RAB5B; Ras-related protein Rab-5B
KWMTBOMO01663,LOC101747183,_,101747183,PREDICTED:_rRNA-processing_protein_UTP23_homolog_[Amyelois_transitella],GO:0032040|small-subunit processome|cellular component,anaphase-promoting complex subunit 13sK12456 APC13; anaphase-promoting complex subunit 13
KWMTBOMO01664,NA,_,NA,PREDICTED:_anaphase-promoting_complex_subunit_13-like_isoform_X2_[Bombyx_mori],GO:0005680|anaphase-promoting complex|cellular component,NA
KWMTBOMO01665,LOC101735521,_,101735521,PREDICTED:_pre-mRNA-splicing_factor_CWC22_homolog_[Bombyx_mori],GO:0003723|RNA binding|molecular function;GO:0005515|protein binding|molecular function,pre-mRNA-splicing factor CWC22 homologsK13100 CWC22; pre-mRNA-splicing factor CWC22
KWMTBOMO01666,LOC692907,_,692907,PREDICTED:_stathmin_isoform_X1_[Bombyx_mori],GO:0031110|regulation of microtubule polymerization or depolymerization|biological process,stathminsK04381 STMN1; stathmin 1
KWMTBOMO01667,LOC101735658,_,101735658,"PREDICTED:_type_II_inositol_1,4,5-trisphosphate_5-phosphatase_[Bombyx_mori]",GO:0007165|signal transduction|biological process;GO:0046856|phosphatidylinositol dephosphorylation|biological process;GO:0052745|inositol phosphate phosphatase activity|molecular function,type II inositol 1sK01099 INPP5B_F; inositol polyphosphate 5-phosphatase INPP5B/F [EC:3.1.3.36]
KWMTBOMO01668,LOC101735476,_,101735476,PREDICTED:_uncharacterized_protein_LOC106136881_[Amyelois_transitella],GO:0005515|protein binding|molecular function,NA
KWMTBOMO01669,LOC732901,_,732901,prolactin_regulatory_binding-element_protein_[Bombyx_mori],GO:0005515|protein binding|molecular function,prolactin regulatory binding-element proteinsK14003 PREB; prolactin regulatory element-binding protein
KWMTBOMO01670,NA,_,101735802,PREDICTED:_nuclear_factor_of_activated_T-cells_5_isoform_X3_[Bombyx_mori],-,nuclear factor of activated T-cells 5 isoform X2sK17335 NFAT5; nuclear factor of activated T-cells 5
KWMTBOMO01671,LOC101735802,RHD,101735802,PREDICTED:_nuclear_factor_of_activated_T-cells_5_isoform_X1_[Bombyx_mori],"GO:0003677|DNA binding|molecular function;GO:0003700|DNA-binding transcription factor activity|molecular function;GO:0006355|regulation of transcription, DNA-templated|biological process",nuclear factor of activated T-cells 5 isoform X2sK17335 NFAT5; nuclear factor of activated T-cells 5
KWMTBOMO01672,NA,_,105841788,gag-like_protein_[Bombyx_mori],-,NA
KWMTBOMO01673,NA,_,105842121,reverse_transcriptase_[Bombyx_mori],-,NA
KWMTBOMO01674,NA,_,101741608,endonuclease-reverse_transcriptase_[Bombyx_mori],GO:0003676|nucleic acid binding|molecular function,NA
KWMTBOMO01675,LOC733127,_,733127,chromobox-like_protein_5_[Bombyx_mori],GO:0005634|nucleus|cellular component,chromobox-like protein 5sK11587 CBX5; chromobox protein 5
KWMTBOMO01676,NA,_,101735930,PREDICTED:_dedicator_of_cytokinesis_protein_7_[Bombyx_mori],GO:0005085|guanyl-nucleotide exchange factor activity|molecular function;GO:0007264|small GTPase mediated signal transduction|biological process,dedicator of cytokinesis protein 7 isoform X1sK21852 DOCK6_7_8; dedicator of cytokinesis protein 6/7/8
KWMTBOMO01677,LOC101735930,_,101735930,PREDICTED:_dedicator_of_cytokinesis_protein_7_[Bombyx_mori],GO:0005085|guanyl-nucleotide exchange factor activity|molecular function;GO:0007264|small GTPase mediated signal transduction|biological process,dedicator of cytokinesis protein 7 isoform X1sK21852 DOCK6_7_8; dedicator of cytokinesis protein 6/7/8
KWMTBOMO01678,NA,_,101735930,PREDICTED:_dedicator_of_cytokinesis_protein_7_[Bombyx_mori],GO:0005085|guanyl-nucleotide exchange factor activity|molecular function;GO:0007264|small GTPase mediated signal transduction|biological process,dedicator of cytokinesis protein 7 isoform X1sK21852 DOCK6_7_8; dedicator of cytokinesis protein 6/7/8
KWMTBOMO01679,NA,_,101735930,PREDICTED:_dedicator_of_cytokinesis_protein_7_[Bombyx_mori],GO:0005085|guanyl-nucleotide exchange factor activity|molecular function;GO:0007264|small GTPase mediated signal transduction|biological process,dedicator of cytokinesis protein 7 isoform X1sK21852 DOCK6_7_8; dedicator of cytokinesis protein 6/7/8
KWMTBOMO01680,NA,_,101736731,endonuclease_and_reverse_transcriptase-like_protein_[Bombyx_mori],-,NA
KWMTBOMO01681,LOC101736056,_,101736056,PREDICTED:_dual_specificity_tyrosine-phosphorylation-regulated_kinase_2-like_[Bombyx_mori],GO:0004672|protein kinase activity|molecular function;GO:0005524|ATP binding|molecular function;GO:0006468|protein phosphorylation|biological process,dual specificity tyrosine-phosphorylation-regulated kinase 2 isoform X1sK18669 DYRK2_3_4; dual specificity tyrosine-phosphorylation-regulated kinase 2/3/4 [EC:2.7.12.1]
KWMTBOMO01682,LOC101735700,_,101735700,uncharacterized_LOC106127760_precursor_[Papilio_xuthus],-,NA
KWMTBOMO01683,LOC693040,_,693040,eIF_2a_kinase_[Bombyx_mori],GO:0004672|protein kinase activity|molecular function;GO:0005524|ATP binding|molecular function;GO:0006468|protein phosphorylation|biological process,eIF 2a kinasesK16194 EIF2AK1; eukaryotic translation initiation factor 2-alpha kinase 1 [EC:2.7.11.1]
KWMTBOMO01684,LOC101735838,_,101735838,PREDICTED:_methyltransferase-like_protein_13_[Papilio_machaon],GO:0008168|methyltransferase activity|molecular function,eEF1A lysine and N-terminal methyltransferase homologsK25166 EEF1AKNMT; eEF1A lysine and N-terminal methyltransferase [EC:2.1.1.-]
KWMTBOMO01685,LOC101735970,_,101735970,PREDICTED:_SUN_domain-containing_ossification_factor_isoform_X2_[Bombyx_mori],-,NA
KWMTBOMO01686,NA,_,101744003,PREDICTED:_LOW_QUALITY_PROTEIN:_uncharacterized_protein_LOC101744003_[Bombyx_mori],-,NA
KWMTBOMO01687,NA,_,101735970,Protein-like_protein_[Operophtera_brumata],-,NA
KWMTBOMO01688,LOC101736101,_,101736101,PREDICTED:_oligosaccharyltransferase_complex_subunit_ostc-A-like_[Plutella_xylostella],GO:0006486|protein glycosylation|biological process;GO:0008250|oligosaccharyltransferase complex|cellular component,NA
KWMTBOMO01689,NA,_,NA,PREDICTED:_piggyBac_transposable_element-derived_protein_4-like_[Amyelois_transitella],-,NA
KWMTBOMO01690,LOC692869,_,692869,calcium_and_integrin_binding_protein_CIB_[Bombyx_mori],GO:0005509|calcium ion binding|molecular function,calcium and integrin binding protein CIBsK17259 CIB1; calcium and integrin-binding protein 1
KWMTBOMO01691,CTL6,_,100174847,C-type_lectin_6_[Bombyx_mori],-,NA
KWMTBOMO01692,LOC101736237,_,101736237,Adenylate_kinase_isoenzyme_5_[Papilio_xuthus],-,NA
KWMTBOMO01693,LOC100862767,Homeobox,100862767,PREDICTED:_uncharacterized_protein_LOC100862767_[Bombyx_mori],"GO:0003677|DNA binding|molecular function;GO:0006355|regulation of transcription, DNA-templated|biological process",uncharacterized protein LOC100862767sK19383 TGIF1; homeobox protein TGIF1
KWMTBOMO01694,LOC101736367,_,101736367,PREDICTED:_adenylate_kinase_isoenzyme_1_isoform_X3_[Bombyx_mori],GO:0005524|ATP binding|molecular function;GO:0006139|nucleobase-containing compound metabolic process|biological process;GO:0019205|nucleobase-containing compound kinase activity|molecular function,adenylate kinase isoenzyme 1 isoform X1sK00939 adk; adenylate kinase [EC:2.7.4.3]
KWMTBOMO01695,LOC101736451,_,101736451,PREDICTED:_adenylate_kinase_isoenzyme_5_isoform_X1_[Bombyx_mori],GO:0005524|ATP binding|molecular function;GO:0006139|nucleobase-containing compound metabolic process|biological process;GO:0019205|nucleobase-containing compound kinase activity|molecular function,NA
KWMTBOMO01696,LOC101736578,_,101736578,PREDICTED:_heparin_sulfate_O-sulfotransferase_[Amyelois_transitella],GO:0008146|sulfotransferase activity|molecular function;GO:0016021|integral component of membrane|cellular component,heparin sulfate O-sulfotransferasesK02513 HS2ST1; heparan sulfate 2-O-sulfotransferase HS2ST1 [EC:2.8.2.-]
KWMTBOMO01697,LOC101736579,_,101736579,PREDICTED:_tripartite_motif-containing_protein_45_[Bombyx_mori],GO:0005515|protein binding|molecular function;GO:0008270|zinc ion binding|molecular function,tripartite motif-containing protein 45 isoform X1sK12021 TRIM45; tripartite motif-containing protein 45
KWMTBOMO01698,LOC110386676,_,105841315,PREDICTED:_uncharacterized_protein_LOC105841315_[Bombyx_mori],-,NA
KWMTBOMO01699,LOC101736723,_,101736723,PREDICTED:_mediator_of_RNA_polymerase_II_transcription_subunit_15_[Bombyx_mori],"GO:0003712|transcription coregulator activity|molecular function;GO:0006355|regulation of transcription, DNA-templated|biological process;GO:0006357|regulation of transcription by RNA polymerase II|biological process;GO:0016592|mediator complex|cellular component",mediator of RNA polymerase II transcription subunit 15 isoform X1sK15157 MED15; mediator of RNA polymerase II transcription subunit 15
KWMTBOMO01700,LOC101736813,_,101736813,PREDICTED:_probable_RNA_polymerase_II_nuclear_localization_protein_SLC7A6OS_isoform_X2_[Bombyx_mori],-,NA
KWMTBOMO01701,LOC101736853,zf-C2H2,101736853,PREDICTED:_zinc_finger_protein_ush_isoform_X1_[Bombyx_mori],GO:0001085|RNA polymerase II transcription factor binding|molecular function;GO:0003676|nucleic acid binding|molecular function;GO:0006357|regulation of transcription by RNA polymerase II|biological process,zinc finger protein ush isoform X1sK17441 ZFPM1; zinc finger protein ZFPM1
KWMTBOMO01702,LOC110385641,_,101739063,endonuclease-reverse_transcriptase_[Bombyx_mori],-,NA
KWMTBOMO01703,NA,_,105842121,reverse_transcriptase_[Bombyx_mori],-,NA
KWMTBOMO01704,NA,_,101739415,non-LTR_retrotransposon_CATS_[Danaus_plexippus],GO:0003676|nucleic acid binding|molecular function;GO:0004523|RNA-DNA hybrid ribonuclease activity|molecular function,NA
KWMTBOMO01705,LOC101736940,zf-C2H2,101736940,PREDICTED:_Krueppel-like_factor_10_[Amyelois_transitella],GO:0003676|nucleic acid binding|molecular function,Krueppel-like factor 10sK13943 CBT; cabut
KWMTBOMO01706,NA,_,105841315,PREDICTED:_uncharacterized_protein_LOC105841315_[Bombyx_mori],-,NA
KWMTBOMO01707,LOC101737117,_,101737117,PREDICTED:_coiled-coil_and_C2_domain-containing_protein_1-like_isoform_X1_[Bombyx_mori],"GO:0001227|DNA-binding transcription repressor activity, RNA polymerase II-specific|molecular function",coiled-coil and C2 domain-containing protein 1-like isoform X2sK18260 CC2D1; coiled-coil and C2 domain-containing protein 1
KWMTBOMO01708,LOC101737161,_,101737161,PREDICTED:_cytoplasmic_dynein_1_light_intermediate_chain_2_[Bombyx_mori],GO:0003777|microtubule motor activity|molecular function;GO:0005868|cytoplasmic dynein complex|cellular component;GO:0007018|microtubule-based movement|biological process,cytoplasmic dynein 1 light intermediate chain 2sK10416 DYNC1LI; dynein cytoplasmic 1 light intermediate chain
KWMTBOMO01709,LOC101737308,_,101737308,PREDICTED:_endonuclease/exonuclease/phosphatase_family_domain-containing_protein_1-like_[Papilio_machaon],-,NA
KWMTBOMO01710,LOC101737450,_,101737450,PREDICTED:_uncharacterized_protein_LOC101737450_isoform_X2_[Bombyx_mori],-,NA
KWMTBOMO01711,LOC101737591,_,101737591,PREDICTED:_uncharacterized_protein_LOC101737591_[Bombyx_mori],-,NA
KWMTBOMO01712,NA,_,101737261,PREDICTED:_maestro_heat-like_repeat-containing_protein_family_member_1_[Bombyx_mori],GO:0005515|protein binding|molecular function,maestro heat-like repeat-containing protein family member 1sK24816 MROH1; maestro heat-like repeat-containing protein family member 1
KWMTBOMO01713,NA,_,101737261,NA,-,maestro heat-like repeat-containing protein family member 1sK24816 MROH1; maestro heat-like repeat-containing protein family member 1
KWMTBOMO01714,LOC101737261,_,101737261,PREDICTED:_maestro_heat-like_repeat-containing_protein_family_member_1_[Bombyx_mori],-,maestro heat-like repeat-containing protein family member 1sK24816 MROH1; maestro heat-like repeat-containing protein family member 1
KWMTBOMO01715,NA,_,105842121,reverse_transcriptase_[Bombyx_mori],-,NA
KWMTBOMO01716,NA,_,105841788,gag-like_protein_[Bombyx_mori],-,NA
KWMTBOMO01717,NA,_,105842510,Uncharacterized_protein_OBRU01_02090_[Operophtera_brumata],-,NA
KWMTBOMO01718,LOC101737733,_,101737733,PREDICTED:_TBC1_domain_family_member_24_isoform_X4_[Bombyx_mori],-,GTPase-activating protein skywalker isoform X4sK21841 TBC1D24; TBC1 domain family member 24
KWMTBOMO01719,LOC101738131,_,101738131,PREDICTED:_uncharacterized_protein_LOC106143196_[Amyelois_transitella],-,NA
KWMTBOMO01720,LOC101738262,_,101738262,PREDICTED:_la_protein_homolog_[Papilio_polytes],GO:0003676|nucleic acid binding|molecular function;GO:0003723|RNA binding|molecular function,NA
KWMTBOMO01721,LOC101738489,_,101738489,PREDICTED:_protein_asteroid_[Bombyx_mori],-,NA
KWMTBOMO01722,LOC101738619,_,101739105,PREDICTED:_androgen-dependent_TFPI-regulating_protein-like_isoform_X2_[Bombyx_mori],GO:0016021|integral component of membrane|cellular component,NA
KWMTBOMO01723,LOC101737404,_,101737404,PREDICTED:_RNA_pseudouridylate_synthase_domain-containing_protein_2-like_isoform_X1_[Bombyx_mori],GO:0001522|pseudouridine synthesis|biological process;GO:0003723|RNA binding|molecular function;GO:0009451|RNA modification|biological process;GO:0009982|pseudouridine synthase activity|molecular function,NA
KWMTBOMO01724,NA,_,100127037,reverse_transcriptase_[Bombyx_mori],-,NA
KWMTBOMO01725,NA,_,101740752,AF461149_1_transposase_[Bombyx_mori],-,NA
KWMTBOMO01726,NA,_,105841788,gag-like_protein_[Bombyx_mori],-,NA
KWMTBOMO01727,NA,_,105842121,reverse_transcriptase_[Bombyx_mori],-,NA
KWMTBOMO01728,NA,_,105841899,reverse_transcriptase_[Bombyx_mori],-,NA
KWMTBOMO01729,NA,_,105842661,endonuclease_and_reverse_transcriptase-like_protein_[Bombyx_mori],-,NA
KWMTBOMO01730,ICE,_,692735,ICE_protein_[Bombyx_mori],GO:0004197|cysteine-type endopeptidase activity|molecular function;GO:0006508|proteolysis|biological process;GO:0008234|cysteine-type peptidase activity|molecular function,ICE; ICE proteinsK04397 CASP7; caspase 7 [EC:3.4.22.60]
KWMTBOMO01731,NA,_,101740752,AF461149_1_transposase_[Bombyx_mori],-,NA
KWMTBOMO01732,NA,_,105842661,endonuclease_and_reverse_transcriptase-like_protein_[Bombyx_mori],-,NA
KWMTBOMO01733,NA,_,102464576,PREDICTED:_uncharacterized_protein_LOC101738890_[Bombyx_mori],GO:0003676|nucleic acid binding|molecular function;GO:0015074|DNA integration|biological process,NA
KWMTBOMO01734,LOC101741818,_,105842112,reverse_transcriptase_[Bombyx_mori],GO:0003676|nucleic acid binding|molecular function;GO:0008270|zinc ion binding|molecular function,NA
KWMTBOMO01735,LOC105841580,_,105841580,PREDICTED:_uncharacterized_protein_LOC105841580_[Bombyx_mori],-,NA
KWMTBOMO01736,NA,_,105842121,reverse_transcriptase_[Bombyx_mori],-,NA
KWMTBOMO01737,LOC101737547,zf-C2H2,101737547,PREDICTED:_zinc_finger_protein_Gfi-1b_isoform_X2_[Bombyx_mori],GO:0003676|nucleic acid binding|molecular function,zinc finger protein Gfi-1b isoform X1sK09223 GFI1; growth factor independent 1
KWMTBOMO01738,LOC101738751,_,101738751,PREDICTED:_uncharacterized_protein_LOC105842836_[Bombyx_mori],-,uncharacterized protein LOC101738751sK20701 PIRK; poor Imd response upon knock-in
KWMTBOMO01739,LOC105842836,_,105842836,PREDICTED:_uncharacterized_protein_LOC105842836_[Bombyx_mori],-,uncharacterized protein LOC105842836sK20701 PIRK; poor Imd response upon knock-in
KWMTBOMO01740,NA,_,105842836,PREDICTED:_uncharacterized_protein_LOC105842836_[Bombyx_mori],-,uncharacterized protein LOC105842836sK20701 PIRK; poor Imd response upon knock-in
KWMTBOMO01741,LOC101738894,_,101738894,PREDICTED:_uncharacterized_protein_LOC105842836_[Bombyx_mori],-,uncharacterized protein LOC101738894sK20701 PIRK; poor Imd response upon knock-in
KWMTBOMO01742,LOC101739036,_,101739036,PREDICTED:_lysosomal_thioesterase_PPT2_homolog_[Bombyx_mori],GO:0008474|palmitoyl-(protein) hydrolase activity|molecular function;GO:0016790|thiolester hydrolase activity|molecular function;GO:0098599|palmitoyl hydrolase activity|molecular function,lysosomal thioesterase PPT2 homolog isoform X2sK01074 PPT; palmitoyl-protein thioesterase [EC:3.1.2.22]
KWMTBOMO01743,LOC101739183,_,101739183,PREDICTED:_HEAT_repeat-containing_protein_1_isoform_X2_[Bombyx_mori],-,HEAT repeat-containing protein 1sK14550 UTP10; U3 small nucleolar RNA-associated protein 10
KWMTBOMO01744,NA,_,NA,Zinc_finger_DNA_binding_protein_[Operophtera_brumata],-,NA
KWMTBOMO01745,LOC110385712,_,105842906,hypothetical_protein_RR46_03708_[Papilio_xuthus],-,NA
KWMTBOMO01746,NA,_,105842661,endonuclease_and_reverse_transcriptase-like_protein_[Bombyx_mori],-,NA
KWMTBOMO01747,LOC101737691,_,101737691,PREDICTED:_uncharacterized_protein_LOC101737691_[Bombyx_mori],-,NA
KWMTBOMO01748,LOC101739506,_,101739506,PREDICTED:_transcription_initiation_factor_IIB_[Amyelois_transitella],"GO:0006355|regulation of transcription, DNA-templated|biological process;GO:0017025|TBP-class protein binding|molecular function;GO:0070897|transcription preinitiation complex assembly|biological process",transcription initiation factor IIB isoform X1sK03124 TFIIB; transcription initiation factor TFIIB
KWMTBOMO01749,LOC110385721,THAP,NA,PREDICTED:_uncharacterized_protein_LOC101737731_[Bombyx_mori],GO:0003676|nucleic acid binding|molecular function,NA
KWMTBOMO01750,NA,_,NA,NA,-,NA
KWMTBOMO01751,LOC101739790,_,101739790,PREDICTED:_tribbles_homolog_2-like_[Papilio_machaon],GO:0004672|protein kinase activity|molecular function;GO:0005524|ATP binding|molecular function;GO:0006468|protein phosphorylation|biological process,tribbles homolog 2sK08814 TRIB1_2; tribbles homolog 1/2
KWMTBOMO01752,LOC101739522,_,101739646,PREDICTED:_LOW_QUALITY_PROTEIN:_uncharacterized_protein_LOC101740551_[Bombyx_mori],"GO:0008137|NADH dehydrogenase (ubiquinone) activity|molecular function;GO:0010181|FMN binding|molecular function;GO:0016651|oxidoreductase activity, acting on NAD(P)H|molecular function;GO:0051287|NAD binding|molecular function;GO:0051539|4 iron, 4 sulfur cluster binding|molecular function;GO:0055114|oxidation-reduction process|biological process",NA
KWMTBOMO01753,LOC101739928,_,101739928,PREDICTED:_beta-lactamase-like_protein_2_homolog_[Papilio_machaon],-,beta-lactamase-like protein 2 homolog isoform X1sK16639 LACTB2; endoribonuclease LACTB2 [EC:3.1.27.-]
KWMTBOMO01754,LOC101740551,_,101740551,PREDICTED:_LOW_QUALITY_PROTEIN:_uncharacterized_protein_LOC101740551_[Bombyx_mori],GO:0004484|mRNA guanylyltransferase activity|molecular function;GO:0004651|polynucleotide 5'-phosphatase activity|molecular function;GO:0004725|protein tyrosine phosphatase activity|molecular function;GO:0005634|nucleus|cellular component;GO:0006370|7-methylguanosine mRNA capping|biological process;GO:0008138|protein tyrosine/serine/threonine phosphatase activity|molecular function;GO:0016311|dephosphorylation|biological process;GO:0016791|phosphatase activity|molecular function,NA
